Incident,Reported,Occurred,Type,Location,Summary,Status
2023-2630,10/31/23 09:15 PM,10/31/23 04:15 PM - 10/31/23 10:00 PM,Larceny,Bobst Library,A student reported missing property.,Open
2023-2628,10/31/23 06:14 PM,10/31/23 05:00 PM,Larceny / Fraud,Mercer and Bleecker,A student reported an attempted scam/theft.,Open
2023-2627,10/31/23 05:02 PM,10/31/23 04:41 PM,Harassment,238 Thompson Avenue,A staff member reported a harassment.,Open
2023-2626,10/31/23 05:37 PM,10/31/23 01:58 PM - 10/31/23 02:00 PM,Larceny,Dibner Library,A student reported missing property.,Open
2023-2624,10/31/23 03:53 PM,10/28/23 02:30 PM,Harassment,Gramercy Green Hall,A student reported a harassment.,Open
2023-2623,10/31/23 03:21 PM,10/31/23 12:30 PM,Weapons Law Violation,Paulson Center,A faculty member reported an illegal weapon possession.,Open
2023-2622,10/31/23 01:02 PM,10/31/23 01:02 PM,Loitering,Bronfman Center,A Campus Safety Officer reported a loitering.,Open
2023-2617,10/31/23 01:25 AM,10/31/23 12:00 AM - 10/31/23 01:00 AM,Larceny,Education Building - exterior,A student reported missing property.,Open
03113-2023,10/31/23 01:30 AM,10/30/23 - 10/31/23,Criminal Mischief,Clark Street Hall,A staff member reported a criminal mischief.,Closed/Referred to Office of Student Conduct & Community Standards
2023-2610,10/30/23 02:15 PM,10/30/23 07:55 AM - 10/30/23 11:00 AM,Larceny,6 MetroTech,A student reported missing property.,Open
2023-2607,10/30/23 12:44 PM,10/30/23 12:44 PM,Harassment,Bleecker and LaGuardia Place,A student reported a harassment.,Open
VSU027,10/30/23 03:14 PM,10/29/23 02:10 AM,Larceny,Bleecker and LaGuardia,The NYPD reported a larceny.,Closed/Referred to NYPD
03106-2023,10/30/23 10:00 AM,10/27/23 - 10/29/23,Larceny,Greenwich Hall,A student reported missing property.,Closed/Referred to Office of Student Conduct & Community Standards
2023-2604,10/30/23 10:00 AM,10/27/23 03:00 PM - 10/30/23 10:00 AM,Larceny,Silver Center,A contractor reported missing property.,Open
